"Naziv";"Woolf d.o.o."
"Adresa sjedišta";"Ograda 14, Vratišinec"
"OIB";"45374311169"
"Oblik prodajnog objekta";"Webshop"
"Oznaka prodajnog prostora";"160"
"Broj skladišta";"02"
"Datum cjenika";"20. 09. 2026."

"Naziv proizvoda";"Šifra";"Marka";"Jedinica mjere";"Cijena za jedinicu mjere (EUR)";"Maloprodajna cijena (EUR)";"Poseban oblik prodaje";"Naziv posebnog oblika prodaje";"Sidrena cijena – cijena na dan 10. 09. 2026. (EUR)";"Barkod";"Dostupnost";"Veličina";"Boja";"Kategorija";"Poveznica"
"ADLER MUŠKA MAJICA";"129_BLUE-5XL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"5xl";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_BLUE-L";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"l";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_BLUE-M";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"m";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_BLUE-S";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"s";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_BLUE-XL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xl";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_BLUE-XS";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Dostupno";"xs";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_BLUE-XXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxl";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_BLUE-XXXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxxl";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_BLUE-XXXXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxxxl";"plava";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-5203/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-5XL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"5xl";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-L";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"l";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-M";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"m";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-S";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"s";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-XL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xl";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-XS";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Dostupno";"xs";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-XXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxl";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-XXXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxxl";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_TIRKIZ-XXXXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxxxl";"plava";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4728/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-5XL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"5xl";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-L";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"l";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-M";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"m";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-S";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Dostupno";"s";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-XL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xl";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-XS";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Dostupno";"xs";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-XXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxl";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-XXXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxxl";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER MUŠKA MAJICA";"129_ZLENA_J-XXXXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxxxl";"zelena";"Muško - Odjeća - Majice - T-shirt";"https://woolf.hr/muska-majica-proizvod-4730/"
"ADLER PLAYTIME KRATKE HLAČE";"613_BLACK-6";"ADLER";"kom";"9,09";"9,09";"NE";"";"9,09";"";"Dostupno";"6";"crna";"Dječje - Odjeća - Hlače - Kratke hlače";"https://woolf.hr/playtime-kratke-hlace-proizvod-7090/"
"ADLER PLAYTIME KRATKE HLAČE";"613_RED-8";"ADLER";"kom";"9,99";"9,99";"NE";"";"9,99";"";"Nedostupno";"8";"crvena";"Dječje - Odjeća - Hlače - Kratke hlače";"https://woolf.hr/playtime-kratke-hlace-proizvod-9259/"
"ADLER PLAYTIME KRATKE HLAČE";"613_RED-10";"ADLER";"kom";"9,99";"9,99";"NE";"";"9,99";"";"Nedostupno";"10";"crvena";"Dječje - Odjeća - Hlače - Kratke hlače";"https://woolf.hr/playtime-kratke-hlace-proizvod-9259/"
"ADLER PLAYTIME KRATKE HLAČE";"613_RED-12";"ADLER";"kom";"9,99";"9,99";"NE";"";"9,99";"";"Dostupno";"12";"crvena";"Dječje - Odjeća - Hlače - Kratke hlače";"https://woolf.hr/playtime-kratke-hlace-proizvod-9259/"
"ADLER PLAYTIME KRATKE HLAČE";"613_RED-S";"ADLER";"kom";"9,99";"9,99";"NE";"";"9,99";"";"Nedostupno";"s";"crvena";"Dječje - Odjeća - Hlače - Kratke hlače";"https://woolf.hr/playtime-kratke-hlace-proizvod-9259/"
"ADLER ŽENSKA MAJICA";"134_GREEN_APPLE-L";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"l";"zelena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-proizvod-4735/"
"ADLER ŽENSKA MAJICA";"134_GREEN_APPLE-M";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"m";"zelena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-proizvod-4735/"
"ADLER ŽENSKA MAJICA";"134_GREEN_APPLE-S";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"s";"zelena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-proizvod-4735/"
"ADLER ŽENSKA MAJICA";"134_GREEN_APPLE-XL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xl";"zelena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-proizvod-4735/"
"ADLER ŽENSKA MAJICA";"134_GREEN_APPLE-XS";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Dostupno";"xs";"zelena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-proizvod-4735/"
"ADLER ŽENSKA MAJICA";"134_GREEN_APPLE-XXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxl";"zelena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-proizvod-4735/"
"ADLER ŽENSKA MAJICA";"134_GREEN_APPLE-XXXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxxl";"zelena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-proizvod-4735/"
"ADLER ŽENSKA MAJICA";"134_RED-L";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"l";"crvena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-basic-proizvod-4621/"
"ADLER ŽENSKA MAJICA";"134_RED-M";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"m";"crvena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-basic-proizvod-4621/"
"ADLER ŽENSKA MAJICA";"134_RED-S";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"s";"crvena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-basic-proizvod-4621/"
"ADLER ŽENSKA MAJICA";"134_RED-XL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xl";"crvena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-basic-proizvod-4621/"
"ADLER ŽENSKA MAJICA";"134_RED-XS";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Dostupno";"xs";"crvena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-basic-proizvod-4621/"
"ADLER ŽENSKA MAJICA";"134_RED-XXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxl";"crvena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-basic-proizvod-4621/"
"ADLER ŽENSKA MAJICA";"134_RED-XXXL";"ADLER";"kom";"5,09";"5,09";"DA";"Akcija";"5,09";"";"Nedostupno";"xxxl";"crvena";"Žensko - Odjeća - Majice - T-shirt";"https://woolf.hr/zenska-majica-basic-proizvod-4621/"
"Akluer 520A-B traka za trčanje s masažom stopala";"sm-001551";"";"kom";"289,00";"289,00";"NE";"";"289,00";"";"Dostupno";"";"";"Fitnes - SPRAVE I DODACI - Sprave - Trake za hodanje i trčanje";"https://woolf.hr/akluer-520a-b-traka-za-trcanje-s-masazom-stopala-proizvod-12948/"
"AKLUER Akluer 480L-B traka za hodanje i trčanje";"sm-001550";"AKLUER";"kom";"229,00";"229,00";"NE";"";"229,00";"";"Dostupno";"";"";"Fitnes - SPRAVE I DODACI - Sprave - Trake za hodanje i trčanje";"https://woolf.hr/akluer-480l-b-traka-za-hodanje-i-trcanje-proizvod-12949/"
"ANATOMSKE KLOMPE";"BORKUM_42FLOWER-36";"";"kom";"31,49";"31,49";"DA";"Akcija";"31,49";"";"Nedostupno";"36";"cvjetna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"ANATOMSKE KLOMPE";"BORKUM_42FLOWER-37";"";"kom";"31,49";"31,49";"DA";"Akcija";"31,49";"";"Nedostupno";"37";"cvjetna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"ANATOMSKE KLOMPE";"BORKUM_42FLOWER-38";"";"kom";"31,49";"31,49";"DA";"Akcija";"31,49";"";"Nedostupno";"38";"cvjetna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"ANATOMSKE KLOMPE";"BORKUM_42FLOWER-39";"";"kom";"31,49";"31,49";"DA";"Akcija";"31,49";"";"Dostupno";"39";"cvjetna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"ANATOMSKE KLOMPE";"BORKUM_42FLOWER-40";"";"kom";"31,49";"31,49";"DA";"Akcija";"31,49";"";"Nedostupno";"40";"cvjetna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"ANATOMSKE KLOMPE";"BORKUM_42FLOWER-41";"";"kom";"31,49";"31,49";"DA";"Akcija";"31,49";"";"Dostupno";"41";"cvjetna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"ANATOMSKE KLOMPE";"BORKUM_42FLOWER-42";"";"kom";"31,49";"31,49";"DA";"Akcija";"31,49";"";"Nedostupno";"42";"cvjetna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"ANATOMSKE KLOMPE";"BORKUM_42FLOWER-43";"";"kom";"31,49";"31,49";"DA";"Akcija";"31,49";"";"Nedostupno";"43";"cvjetna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"ANATOMSKE KLOMPE";"BORKUM_BLACK-36";"";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"";"Dostupno";"36";"crna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
"ANATOMSKE KLOMPE";"BORKUM_BLACK-37";"";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"";"Nedostupno";"37";"crna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
"ANATOMSKE KLOMPE";"BORKUM_BLACK-38";"";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"";"Dostupno";"38";"crna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
"ANATOMSKE KLOMPE";"BORKUM_BLACK-39";"";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"";"Dostupno";"39";"crna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
"ANATOMSKE KLOMPE";"BORKUM_BLACK-40";"";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"";"Dostupno";"40";"crna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
"ANATOMSKE KLOMPE";"BORKUM_BLACK-41";"";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"";"Dostupno";"41";"crna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
"ANATOMSKE KLOMPE";"BORKUM_BLACK-42";"";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"";"Dostupno";"42";"crna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
"ANATOMSKE KLOMPE";"BORKUM_BLACK-43";"";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"";"Dostupno";"43";"crna";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
